Address,Amt of Transactions,Amt of Purchases,Total Val. of Purchases (BTC),Amt of Sales,Total Val. of Sales (BTC),Profit within Query Range
17gXouLygfMgeB6nEuiDzLYuZ81CuXGnL9,1,0,0,1,50.0,50.0
14WHq7xTd5PviqtPN5ttrGbtFVcWYk9HHt,1,0,0,1,50.0,50.0
1Q4gQ21ZvHDvRG847Tu8axKKRW56QVDqrY,2,1,144.910142,1,144.910142,0.0
1Ch1ypa6o2CTmhL9nBTb7zLhtEq9e5atpL,1,0,0,1,144.900142,144.900142
16K9LSzsbiGb17cYdH2xxpsfEBLBuaXC24,11,6,0.2,5,0.13,-0.07
1EtYRfCngH8ut7GgiR5oHUqxU3Vk6e3C1D,1,1,29.82062491,0,0,-29.82062491
1HDuhXvFRkhWEZJ5n7uNpWZxm6wWWqbVYY,1,0,0,1,29.80062491,29.80062491
15zaB3MYPLHomRDND37dK9mT1uxFk9sUJH,13,7,0.22999999999999998,6,0.13999999999999999,-0.09
17KazUi4iprY51YjsdU9FmVmzHv9KFGDDh,2,1,5.946849,1,5.946849,0.0
181uPdVzmyBoWJhtJPcTgW1vwB8GJxzNKC,15,10,0.12999999999999998,5,0.13,-3.469446951953614e-18
1C6ySMcWE8r8JPqcP29nYtts6SToShG9Uu,1,0,0,1,5.926849,5.926849
13ZjCpXMJoGotnn3SaJUqDyZhdGEC86Lmu,2,1,5.12,1,5.12,0.0
12EaYFtT8UcwVqDpMAzgLcX7gKrxf3YzNS,1,0,0,1,5.1,5.1
1653n5SZTYfiw7WM4irvWeCS5yT9v2i2RK,13,7,0.17,6,0.13999999999999999,-0.03
1DxBRJv8DBahVzdmwqyeRv6B9b5Zzw5Rmi,1,1,1.3292,0,0,-1.3292
162A5r2XXTZG8Ud8ufZpNSyQKiFyUodW9L,12,6,0.22,6,0.14,-0.08000000000000002
1AoJdetr39Soy7hK9RQ6LBYYYuwq13jCJL,1,0,0,1,1.3092,1.3092
1VayNert3x1KzbpzMGt2qdqrAThiRovi8,2822,1411,42459.43695604994,1411,42245.60319252995,-213.83376351999982
1M6mWDSZ5QFTntBSTL9AaGkiSSUFsdQVeY,3,0,0,3,0.637,0.637
16JnBzXKCAXRxhkTx3Wh95WwsbCXSDhguv,1,1,1.0,0,0,-1.0
19Hn3MwnYmecxRsfka2aH4XYBvsU5bBLHq,1,0,0,1,0.98,0.98
18ePCDTUtwMAN1GeibmEsxCxiwNywt1spy,16,11,0.38000000000000006,5,0.13,-0.25
1Q7FLAxWNYmxnqxuDMj1xPXBfRQ9G5fQ5C,21,9,0.8999999999999999,12,1.2,0.30000000000000004
1P64d8Uhnh9HU2sDYSaD7Da2366NAv8o8j,2,1,0.0123583,1,0.0123583,0.0
1AgCjfPZ5sR2zKLEjLTnrSb1VcM6eQBgVM,2,1,0.63582145,1,0.63582145,0.0
1TpbR5kJv3oerwZckvohb5Wp3LkK8RBAA,2,1,0.01097153,1,0.01097153,0.0
1MsD1LpCfQpynpYYJEVwLpWwBEHTYvLhy9,2,1,1.77,1,1.77,0.0
17ABH3umdzXX7ebHxFqkLVFHp2T1QZsWK8,2,1,6.39,1,7.77,1.38
12WRga63Ujh5bXtwobRQbs3zncrMPu7N7s,2,1,0.99092338,1,0.99092338,0.0
1Dr6obaAR7bnWDqL5Afhvse2J9h6m2HJDN,1,0,0,1,0.01007466,0.01007466
16xmTRmHVddmk4LRthexytvkd3mRuDtsr8,1,0,0,1,10.0,10.0
1CDysWzQ5Z4hMLhsj4AKAEFwrgXRC8DqRN,120,60,4688.94001944,60,4718.82445103,29.884431590000112
1FL3SPLzxJbmowDS4bgjhsnXVSA8GZFbXK,1,0,0,1,20.0,20.0
12mp953V2dR1jmcv74Dwmz95hkcqNBvfgg,1,0,0,1,0.07,0.07
15FQwBb524UiHtZfetkgwYUSfsVT114HMN,1,0,0,1,2.97,2.97
1Q1XHyepM8PepgoU5szPS1S1b8E1DtTY8e,1,0,0,1,25.15,25.15
1DCohrcuPNC1YnmRLKFccGwe8rFJfZ7a7G,2,1,1.43,1,1.43,0.0
1EtTbjPBCxwtKkUWy6Us5eF1i4Gcpv72ku,1,0,0,1,1.41,1.41
14Et8QrXSHqekxbrxJJGL6aqkEGPDsEXb9,10,4,0.15000000000000002,6,0.15,6.938893903907228e-18
1NExpFKX7J2GYegiMXwB9udpNDcskmuxQh,1,1,0.41,0,0,-0.41
12Sc49A2wGomVZMyMv5wqU9ACZbCnj5xb5,1,0,0,1,0.4,0.4
1AUWAQMTZVZdyBjioRsNRfis6vx8SJ5HMR,15,8,0.48,7,0.16,-0.32
16DhKkfUGxgVuZB4fh3v88P5Ec3TTaF5Xx,23,11,15.66618,12,22.21618,6.550000000000001
1467i9P3ojKFFm3U5hTNDsyjVcqamXcNtS,3,1,3.015,2,6.03,3.015
12krGCx6VNQJHobSPrEp9x5oLPzwgBBbFV,1,0,0,1,0.145,0.145
1J6mRGtvVE1wBY6h2iNY8mUqEfjSwjQL8N,1,1,1.0,0,0,-1.0
1ZZjCeTXoDruuHGPy2mSW8qAf6a9HYMEW,1,1,0.02,0,0,-0.02
19KTdJmMUf1fkWKxxRxVAUbk3UWJGnuWSU,1,0,0,1,1.01,1.01
1Gv6TnhaxjwURhFRMdJjDavG77gBRYEyzQ,1,0,0,1,0.01,0.01
1MXfGY8s4edVrN25LUpPucz9zdarRuWLto,1,1,0.59,0,0,-0.59
18L3HGBnQfDvUriKWprJ3KyMkZZyek8FmU,1,0,0,1,0.03,0.03
1GTHDJLrDXWPjVZGVDGR96z7ge71eGdK4Y,1,0,0,1,0.56,0.56
1AQjWApCJzE2gv9Hqoeoss7YE2zaWk7L9Y,2,1,1.74,1,1.74,0.0
17y3yMwKZHPJbnmbRKhMqKssSK7f7Ak5oD,1,0,0,1,1.71,1.71
1EzErKB8TTkDP1uUP14gQJKcGadMErs1xC,1,0,0,1,0.03,0.03
13NXNXGBvSmrSn6KGdbHECdUKSC9dWUFuV,2,1,1.7002,1,1.7002,0.0
164WRLQpKQdbuxgJYfaEQibcYRmBtxGxEf,1,0,0,1,1.6902,1.6902
1ANy9SWAiKWY7t4y8J1vKo9bNUzViDwYgk,15,8,0.48,7,0.16,-0.32
1DmeRd4aovCNo9D8KUFzC1vwSrBCoywL2c,3,2,2.17,1,1.15,-1.02
1PqUDa5z7z5db1jARkiSbDCMSLaLH6rjXs,22,16,0.6,6,0.16,-0.43999999999999995
164BUk2GmGnh6f9U6Yj8yPqHdcCM5B5m1c,1,0,0,1,1.13,1.13
1NG4XuPmHL4wmEK7cizsxcaG6nrKFHgz8W,2,1,0.5,1,0.16,-0.33999999999999997
1SLgaYsuYx4PaSHMoDAMHqst5JvjqNRvr,1,0,0,1,0.47,0.47
18ZCLZ5XezEzALqS9KBoWRJ1U9zc5GSgQW,9,5,6.206313080000001,4,6.01635296,-0.1899601200000003
14Fh1BFNMfy7pZ6PNQKmpnc5yj6g915aWe,11,4,0.15000000000000002,7,0.18000000000000002,0.029999999999999992
1DRPkUxoztb5gbLtKmDEM1DsUpi1KebdY9,1,0,0,1,1.8454768,1.8454768
1Pu9sStEFt1YqTxH8dqiD56TVSDdnUYQbf,2,1,1.283,1,1.283,0.0
172mU95ABhrqtVtKyQGPhsi61A5rF57Sik,11,6,0.2,5,0.13,-0.07
1LPeD67xywyFaeA26aVLSYxnJ27EkrxxeW,1,0,0,1,1.273,1.273
1P1VnDZkVC6XMRCJE5LQZqRZWaPBb38LfE,2,1,0.81,1,0.81,0.0
18AB3pPkWaUmvEQQ5EuCTErtRAGn7Wn8vq,1,0,0,1,0.79,0.79
1PFpTZBVBaVHJBiYTucRpEBXCLjCVqrTkp,23,17,0.4900000000000002,6,0.16,-0.33000000000000007
1BEuBPmChbn2AHcyLVHrchdqfn3DCR69wB,3,2,6.01,1,2.85,-3.16
13JtxPKBQ3WcfPUsKBXK9PQT1sKpAtPqeQ,10,4,0.12,6,0.16,0.04
1HNBVN9ZeVH9K5JGCtUAwFVhg9RgxTr56e,1,0,0,1,2.83,2.83
14LgCMiQWFycR6cqUvQrKr5dXWcYWvGvsz,2,1,1.05360533,1,1.05360533,0.0
1MwJCn9c6r4iKifPVW4ub18inxVLWbSrVs,1,0,0,1,1.02360533,1.02360533
13LQPnXDXd3FzBp4Gvuuzemw45kvZErfuk,1,0,0,1,0.03,0.03
19Xx519bwu5YH8VYJwXdqJGJDLQv12BrCa,2,2,0.72,0,0,-0.72
1JbFdcNAp4VSbFAuf4YFCYtPQzCvBHHss8,3,1,0.03,2,0.05,0.02
1Ym5YNBUCVLHgo5JYG7fK9411YUdMPAXs,1,0,0,1,0.46,0.46
13UJTJpXGaZHDnwdsvFrZBeegGq1w1fQTx,2,1,0.70542234,1,0.70542234,0.0
1EikKdp1esYEdUGw8gJ5ccBHkwz33ArR4v,1,0,0,1,0.69542234,0.69542234
1NtoFHWzvneMpJNEzcHm6kDiV1Xa5bi22a,1,1,0.22513993,0,0,-0.22513993
19pQdoUsxLCuQHxd9wU9JudZ56a8JGses3,15,8,0.48,7,0.16,-0.32
1LDrQ6fuhVKZoRazYkZyCmot4X8TBPgcAe,1,0,0,1,0.19513993,0.19513993
1N5KDuYgN1obeKqVjatktVfUW2z8x9azGg,2,1,0.64533237,1,0.64533237,0.0
14pWihmygHc7mKUvfqz349RTKRkFwWgTYN,11,6,0.22,5,0.12,-0.1
1AcupPo4vYVPduB7af6J6QJ4tyBYxLcnWk,1,0,0,1,0.61533237,0.61533237
1Es59o3q7QJUY7MXXVD3hgU93jaQbx8sV1,2,1,0.53,1,0.53,0.0
19wxdvPHeZuTty6uG5nS4XzLM2TmJhC5jb,1,0,0,1,0.52,0.52
1J6zbMRuD9zH8ADU6PYASkGTFViE3Kx8JZ,7,4,1.2,3,0.8999999999999999,-0.3
19oUWyuPtZVpt21G73krz6pgJJt3x4kDnp,15,8,0.32,7,0.16,-0.15999999999999998
1LwMLgfwof6F1WYsthiB6RQYSxpd89wKEg,1,0,0,1,0.29,0.29
1BvygG3N2KPzvrCBBHJwE8pgzCuMikJiZd,2,1,0.92926582,1,0.92926582,0.0
133ppy1FUVHRddEH5tVD8kJF76fsMxWuzD,1,0,0,1,0.91926582,0.91926582
19eQdxyr8XAhrG5qNvHZt6dWpVfDkiyRG6,15,8,0.32,7,0.16,-0.15999999999999998
12sUVZkxH5StG1RrsCdHSdYM9UUEsQJ291,2,1,0.54366151,1,0.54366151,0.0
1BhQXEw5u6BVbuMatLf7GnixAFCBGbTh3P,1,0,0,1,0.53366151,0.53366151
1AJwzJyPGh4e9qMjeZNVqRhhnRDCifEW7T,2,1,5.251,1,5.251,0.0
1LeReeMwEckTtCgxTodrnB7avLn79un6q4,1,0,0,1,4.021,4.021
1CQqmPhbknEmGyJDPUhpU8TBZhTsnQECx1,1,0,0,1,1.23,1.23
1Mk4uCBHGqYqUGhiqf1zBztorJirW9bYA2,2,1,0.47,1,0.47,0.0
1CzqV8zEcV1xdcQHyYCKw58fnEzHaJ6vYf,1,0,0,1,0.45,0.45
12AhaWRwJP9f3Q9edvMedt2CDqoWxKaHj1,10,4,0.12,6,0.16,0.04
1js9LPDbC636aZUzQufcJTH7tV89XKw6e,1,1,0.19693307,0,0,-0.19693307
