Address,Amt of Transactions,Amt of Purchases,Total Val. of Purchases (BTC),Amt of Sales,Total Val. of Sales (BTC),Profit within Query Range
16x8LFftRYJZpZMRz9xs9uMd57DvEwhWNg,1,0,0,1,50.0,50.0
19sHBzer4BboaU1xvAotXtwnybvaE2H6mr,1,0,0,1,50.0,50.0
13MBubXsrvzPtiRABgGgH23VxZ2JiTgLLs,1,0,0,1,50.0,50.0
18KwJC377WrF6W5mQ9rcxHxCp12ZAAmv1X,1,0,0,1,50.0,50.0
1JQqenFzpdsSgKF6eeHDju7HqfTek4XYTq,1,0,0,1,50.0,50.0
15ASTuh7uBM5WR9y9xLTVk8K7pHBWV8i5X,1,0,0,1,50.0,50.0
13adHQxe7TCqezQDfL9TiEnFP1Z5r1LrDV,1,0,0,1,50.0,50.0
12bxERduyEapLZP7AQbFTLD3u475QCgZ88,1,0,0,1,50.0,50.0
17KZcGqVGTdq1tQCHpkmx6MtZZkKc7JapM,1,0,0,1,50.0,50.0
18egrceowxZ5Gsw7ZC7yq4t1NiNNqt3hqV,1,0,0,1,50.0,50.0
1BKt2Q6kMoUFFSznfu1ELJC6VXZb9VBeZf,1,0,0,1,50.0,50.0
17FPyN2koTeXLtQ9VBt93qF62xB8ydi3av,1,0,0,1,50.0,50.0
15qZmvJGE69FkSmxmqAsjDk2G5eMnurhqz,1,0,0,1,50.0,50.0
15umQbCUR2cqCVgWByJvtVN3T4RP6VEDDw,1,0,0,1,50.0,50.0
1EKQoncTeEu6SaBcFWAo4aRA9xpomNJaeZ,1,0,0,1,50.0,50.0
1otezyBLTBJHuR33yFq5qkapqLXmWK3RS,1,0,0,1,50.0,50.0
1HtFtNhybGF5SQb1RgnbuYaDdW4FKtFQn3,1,0,0,1,50.0,50.0
1Lkh1EKagChJ7d7rkmgdoAenERQSLh1BDu,1,0,0,1,50.0,50.0
1P98FLeJwM5k92AhUxzphadabH1MvCUmm1,1,0,0,1,50.0,50.0
1ASVKtj2nBPy5kLHQQDcxPuyk3sm6A1r9x,1,0,0,1,50.0,50.0
19NvzW8eSk13wwx2zcr3wPoWqGwuAufhuh,1,0,0,1,50.0,50.0
1FZ9giLRXdx69DYyZYxnJ5GwNbAUfWJGz3,1,0,0,1,50.0,50.0
12EuuYHAYPvuGjhDbMqnk5Xf9JDPfLz1GA,1,0,0,1,50.0,50.0
1Z3bRDA9Dgas11ViRB2pZTr8dizWL7ir4,1,0,0,1,50.0,50.0
1JdKVdpkNjfN64dv1o2ZJMBctWYx5kZBpr,1,0,0,1,50.0,50.0
12Vms35DwLXaHxsPEVNdqTyRSrMCJC6WgZ,1,0,0,1,50.0,50.0
18BBh97cACsWLGEEfNtr6SjqaEca3jfnkh,1,0,0,1,50.0,50.0
1Hm5BLDb2ZLUykBzzA8ErUVLfW9Nr2Egbc,1,0,0,1,50.0,50.0
14FVA45FcchKh6u6HMNUxKkBYEjuGFGGFL,1,0,0,1,50.0,50.0
19zc3FoAHWj8qGBfiYrqXEvTEU4pA7pKD2,1,0,0,1,50.0,50.0
14RDexwGQ9CUGZWcwGfowzmjccemgsbCQX,1,0,0,1,50.0,50.0
1HFXjxgnG3E9UJSXS8JKn97pbXYcZYbip5,1,0,0,1,50.0,50.0
1FQMsawpo4NZiiP7C42kL6yMbwCY6zs2cj,1,0,0,1,50.0,50.0
1BkvKav4n9mXUMzPxxTcvDmcMkRnHri2UJ,1,0,0,1,50.0,50.0
18b9SMC4DTj8TxQcWJvbimihvtsccNBRdL,1,0,0,1,50.0,50.0
1C6HCzUdLMbtNZFhao9PPY5bPDoShPQf5b,1,0,0,1,50.0,50.0
17u7fxENk7aNajRDrMcynY7T8aG4oye1YF,1,0,0,1,50.0,50.0
1Jt6GAu5fiJmcVRg7EicaJj3CE8dRrfLCZ,1,0,0,1,50.0,50.0
15L8S1EAdt1GWBa4NDfEQkcmiSiB5RNReQ,1,0,0,1,50.0,50.0
1BUhzWEE1gxVwopvbXmPPfShf7X9bZdfVA,1,0,0,1,50.0,50.0
1PGh3aqWCvanCBcisay8x7ipyFxrmBiD3y,1,0,0,1,50.0,50.0
15HFmox5SyxTRpVpTXL7utJ6MzEDsnCqEt,1,0,0,1,50.0,50.0
1CWkLYS6my6EcF6iZQQgFj2zDJaPXS5xvj,1,0,0,1,50.0,50.0
