Address,Amt of Transactions,Amt of Purchases,Total Val. of Purchases (BTC),Amt of Sales,Total Val. of Sales (BTC),Profit within Query Range
1BGYrrKncFT4X3oe22ywiFawZhkZEo84gi,4,4,0.01226452,0,0,-0.01226452
bc1qg3cfup3lkekhswp35y3h5cz8r4aj500q8fqsqr6wm8sartaptyzqh90ql8,4,2,0.47049773,2,0.45281506,-0.01768267
bc1qc8ee9860cdnkyej0ag5hf49pcx7uvz89lkwpr9,4,2,49.2847222,2,49.26474519,-0.01997701
1KHwtS5mn7NMUm7Ls7Y1XwxLqMriLdaGbX,4,2,7.6994775,2,7.6726504,-0.0268271
bc1qny6se8zvcj5hjrpz46z7lcdtq05xc4q45j870m,4,3,0.0900768,1,0.01363105,-0.07644575
bc1qfvlh09j0y9raa5tk2d6vxjups69zkunajtamzq,4,3,0.08130579,1,0.00052734,-0.08077845
bc1q7tn5a6wxs2xpssgltl4f2weu0peg38n25nyz72,3,2,0.00292814,1,1.15826133,1.15533319
bc1q7dmjqztn342e7qyl4tlfyqc8mju8ny7me8vm4n,3,2,0.01045418,1,0.84645257,0.83599839
14m1nGouhmfuK3eNGiXrBQgF2PPRYdR8ek,3,0,0,3,0.03004246,0.03004246
bc1qn3v60sgpvamsw0kp2dy5d3n00wrthv3uwkjq3c,3,0,0,3,0.0157845,0.0157845
bc1qzegluqcvxuvc8yhdw0cqeenqg0gye0s9plpe3m,3,0,0,3,0.01451602,0.01451602
bc1q9v8x63056m08ztz8tmcu5gmt94pcy78jn03d6p,3,0,0,3,0.00952473,0.00952473
181YtQxHoP9sSLv49qU4sMuGW1Duo7oMym,3,0,0,3,0.00559004,0.00559004
bc1qwx9y7dnq6c579nqdev0ylg7w5ch09lc08wtugm,3,0,0,3,0.00518806,0.00518806
bc1ql9kqdxkzqd3aplzf908akcu0s8ag8z09cyhvyk,3,0,0,3,0.004489,0.004489
1kTkcpAMbZRK7V55tthoF3gJYsoyGCE8p,3,3,3.25E-05,0,0,-3.25E-05
1ieZ86A981WnDPEEcxsNmBcXianEovm6c,3,3,4.48E-05,0,0,-4.48E-05
bc1qjpxq3yt2y6t53e0aa6l0v4f7xx36pngqeehrqg,3,2,0.00013482,1,8.28E-05,-5.20E-05
bc1q7u4469gfdfwtflg4p9mqe8l2puah9xxdwxuymk,3,2,0.0001247,1,4.62E-05,-7.85E-05
12WhSmnAKNVYQL9tehVNWJwbZvjSu2wb1z,3,3,0.00012216,0,0,-0.00012216
bc1q4ewtpts60xq4v6xw58c8x9wk25va2tza55u8h9,3,2,0.0001856,1,2.65E-05,-0.00015914
12u7JsTyCi9igyuk7ZtxSq8o7bC4P48Vm5,3,3,0.00018801,0,0,-0.00018801
bc1qgfeeazeu800jtfhw5c43vul7n2ahkws93rdl2l,3,2,0.00056738,1,6.21E-05,-0.00050526
bc1qhk2ruccp9endxjh8lp2ytrewpggv3t2qpxxavj,3,2,0.00057452,1,1.32E-05,-0.00056134
bc1q60cdfdsctxqv3gdj58jattg8ll4ylzcspm37me,3,2,0.00088632,1,3.22E-05,-0.00085417
